samplingFrequency,polynomialAugmentation,features,history,nbIter,nbEpoch,MAPE_min,MAPE_med,MAPE_max,MAPE_std,MAPE_CI,MAPE_mean,RMSE_min,RMSE_med,RMSE_max,RMSE_std,RMSE_CI,RMSE_mean,nRMSE,MAE_min,MAE_med,MAE_max,MAE_std,MAE_CI,MAE_mean,nMAE,R2_min,R2_med,R2_max,R2_std,R2_CI,R2_mean,MBE_min,MBE_med,MBE_max,MBE_std,MBE_CI,MBE_mean
6_hours,1,GHI,5,10,16.0,166.22867765277357,171.87583067025966,187.01321940580482,6.838525598069142,0.11382254901213344,173.98208480051127,188.05465519153424,190.07781547833764,191.72112199312002,1.112841610000781,0.017499147931727264,190.153083266976,0.699694223255128,161.75950118878532,163.83824527036728,166.8449928557549,1.6159745835180137,0.02900283860314715,164.19819482237705,0.604189668725135,0.09122175706862778,0.1067301692766226,0.1256482684314395,0.010458175884252992,0.2949204118942974,0.10599874676209495,-42.3676843439146,-40.16647972642369,-34.30947980507569,2.292553607477327,-0.1813164293267411,-39.5960458108408
6_hours,1,GHI,10,10,40.1,115.38913146124013,125.02886521795313,133.80913787701348,5.914023573315218,0.13879998766437654,125.6673192990781,135.43428014651985,139.47710537353976,147.37935729231066,4.219318261281358,0.08109768499113049,140.9769555800693,0.5181224290001472,110.35489357047379,115.66496253417569,123.34635827554656,4.286442526538996,0.10371585660886695,116.81356143668707,0.42931645064046753,0.4632066983098877,0.5192258653748262,0.5466945099998641,0.029508651804741066,0.15715208400745762,0.5084360739485474,-17.88281111316634,-14.49369442096822,-8.847276943617944,2.657831240383173,-0.5574134875962846,-14.370474143245076
6_hours,1,GHI,15,10,30.6,153.69281038285908,174.46685251490112,198.89862338785568,16.91615750789297,0.2448662374632806,177.80447637318807,165.73974645780442,176.74623030328755,186.92221149290472,9.902482045039854,0.11873935299840317,176.40657443449902,0.6483343498341203,137.8866449852325,150.8631636299158,163.20602420532322,12.023950730185696,0.16525778711579342,150.647243490846,0.5536629401485572,0.1365134196651031,0.22635628899073107,0.32112922704158353,0.08631452569656038,0.7978404751754211,0.2287535000294366,-27.917012558303437,-10.56160662023896,12.601086664345456,11.409669785592572,-4.38032438445706,-8.084140363232022
6_hours,1,GHI,20,10,29.7,159.3993791015413,201.7701478857175,219.59752529719538,23.125725674167246,0.30006559719065795,196.14142741821485,165.51016638480945,186.732940225067,194.80767916829043,11.074154061691033,0.1565521499631486,183.5448242599362,0.6733437648637255,137.77582391217166,165.16641206117288,171.3657501666705,12.58361256012446,0.20598658970194209,160.02045402789182,0.5870433852046384,0.060783826355959025,0.13678680723533382,0.3220420335485603,0.09893970393621414,1.5669057985046737,0.16351483768028202,-19.38447342852663,-6.990523386946043,9.09733023980577,8.959262591981565,-4.658239852553331,-5.724410522434333
6_hours,1,GHI,25,10,19.8,107.09626812645617,217.1670520436914,227.08096725696424,36.77058885595859,0.5047937781756162,202.06151943694294,124.71665675515575,193.27124782782838,198.4786343055519,22.00217432612522,0.32516312510221806,185.57313128588,0.6807847150221151,99.92680670995563,171.35827882545112,175.1663285569702,22.609091086438998,0.37562798740805964,162.77000387673084,0.5971302522920798,0.025053142536359596,0.0755327116872132,0.615051759907588,0.17499808048875107,3.5578006454702624,0.13693473413977056,-25.437670606962662,-8.621953167626275,4.203777815133895,9.600260498279557,-3.044861645979968,-9.078031327195289
6_hours,2,GHI,5,10,0.0,92.75348307171967,99.33699294767115,124.57723922268951,9.966902896960786,0.2751466705787634,102.71060321039776,105.53446158438376,107.57486860690861,116.97909644314478,3.3646519788782268,0.09100188720587606,108.58107999784552,0.39953890372962364,80.35463763144342,82.64807714008728,91.82901688127255,3.579622253678598,0.12499190640961819,84.01685444114312,0.3091514831026892,0.6616746636545813,0.7138648560454144,0.724636359422724,0.018506041539137222,0.07655215764208317,0.7082563133225884,-24.527640302198186,10.576675852024044,48.97796764666215,20.986178741821554,5.222041453204768,12.423389297291198
6_hours,2,GHI,10,10,7.0,88.03565458341846,130.07966841430985,150.19862867804406,25.40902269030611,0.4985470923718376,122.86736645808926,118.6708783374851,129.61505358726208,152.31000767242082,10.543183445618189,0.24142572264084428,131.11852756885293,0.48189046012071257,93.35229971125105,104.91192533409146,127.80088744275916,10.911864764446594,0.3084985411120617,106.45780511871939,0.3912566869328339,0.42668850260404756,0.5848120577151737,0.651965669838309,0.07031573264479354,0.36817652447689286,0.5726518886414518,-48.91943267345778,8.285025898893881,54.29295471195237,33.875629419524124,-70.881677329878,-1.3330312346699373
6_hours,2,GHI,15,10,24.4,142.6297510755802,190.57589690132232,228.89008257805267,30.323373830998538,0.4354642254640308,188.18403766267912,146.87488343277286,183.15864385772784,190.4977459142735,18.61036039086298,0.24682908214628857,172.706683551396,0.634736407932899,120.23648738998632,160.5023738536832,169.04592863918012,19.978807955340887,0.3200068780456218,149.20690726168783,0.548369376370295,0.10316313110532338,0.17092923684669958,0.46687525444641986,0.15543455280011098,1.3936948412379198,0.25515300545969016,-18.63626266411505,1.9362188519296153,41.88181967754821,18.075814067774225,25.98023982715375,2.108611981864531
6_hours,2,GHI,20,10,12.9,139.10658327387665,194.5919815297205,241.88037578582748,32.136899356401166,0.48293321819825763,194.65009171563418,157.92427140717606,189.60241579968343,195.83209870288627,15.824255208198556,0.2055905708195849,181.4377567351462,0.6656138777057258,129.90913253017078,166.139744440316,173.93741291413775,18.52848622279707,0.27498875966052305,157.54481708555653,0.5779613819070297,0.05087989244702684,0.11029602969800467,0.3827640944907995,0.13737823904609417,1.814949741473234,0.17970175811085193,-22.639332172739802,-6.8567728845033615,46.80655001585538,21.716651476115928,-590.7702639707343,-0.10669005737495638
6_hours,2,GHI,25,10,18.8,102.40866978998059,218.1746842941257,244.42625589087342,39.7556576927739,0.5647512461236935,208.9766302195187,122.41471091003503,192.27447185913377,197.25573572562178,22.72107111298981,0.3313398086136943,185.6660153333187,0.6811254649966805,96.2388740295876,171.7192517629905,176.44056171360882,24.28325836301847,0.39694996039184244,164.32672161344115,0.602841152536165,0.03703013094986962,0.08502999245645121,0.6291309085079748,0.17906647653983787,3.632999786561851,0.13536520618168904,-21.409574995026947,-8.36516378306641,13.51925554842631,11.92152903840071,-5.874722821157748,-5.717622329135923
