samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
1_hour,2,GHI_d1_d2_d3,5,0,0,42.199522203668955,83.06825071847298,0.2379095838497763,54.3542788296127,0.155672037691437,0.8930130765310296,10.389169989940008
1_hour,2,GHI_d1_d2_d3,5,1,37,41.632989238736634,81.64071408337583,0.23382108260111875,52.80801817743532,0.15124350783675694,0.8966586434031564,6.752798978902996
1_hour,2,GHI_d1_d2_d3,5,2,10,68.9837649393202,134.5478053620965,0.38534833832101567,106.25050877078884,0.30430416081777406,0.719318489149011,-48.65465228930936
1_hour,2,GHI_d1_d2_d3,5,3,30,43.33773364518719,83.95708223075542,0.24045521991855964,54.25727948557361,0.1553942291018201,0.890711304234747,12.175061884108095
1_hour,2,GHI_d1_d2_d3,5,4,0,41.4656190820262,80.94124755566592,0.23181779266681773,52.3406879857412,0.14990506227585074,0.8984218364512301,9.575099491753404
1_hour,2,GHI_d1_d2_d3,5,5,38,44.94917545024816,81.67379660281192,0.2339158317786164,56.096841728267336,0.16066278217522315,0.8965748742896804,-1.4335141478480624
1_hour,2,GHI_d1_d2_d3,5,6,0,48.837773456512274,85.88859023045026,0.24598710797970696,63.727119670290584,0.18251609236466212,0.8856248918730524,-9.236046470449969
1_hour,2,GHI_d1_d2_d3,5,7,0,42.268662080109344,80.98140483583701,0.23193280413908796,52.26223160765443,0.14968036121257394,0.898321019753287,11.24371058052805
1_hour,2,GHI_d1_d2_d3,5,8,28,44.51733922926749,87.11817286335756,0.24950866392886617,59.84954686657432,0.17141062518435715,0.8823266585887097,-4.257946000987953
1_hour,2,GHI_d1_d2_d3,5,9,0,43.08017953437472,79.89601035124284,0.228824206715774,52.3926840580483,0.1500539803500537,0.9010283626170383,7.623096263773976
