samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
12_hours,1,GHI_d1_d2,15,0,35,50.257969342218566,124.48978111680721,0.3438381771469326,97.53150233844897,0.26937997382281975,0.2477473959212405,5.724955117977282
12_hours,1,GHI_d1_d2,15,1,35,51.08342196403582,124.53186124617963,0.3439544015859807,98.86256751743565,0.27305634806575546,0.24723875598918055,4.3188723955861175
12_hours,1,GHI_d1_d2,15,2,35,51.503912818303654,124.98487147850713,0.3452056063926326,96.79468397127793,0.2673448968712525,0.24175214739048556,12.840961160284182
12_hours,1,GHI_d1_d2,15,3,47,49.83954523664316,123.55928261359459,0.3412681597020278,96.24008121953845,0.26581309564638045,0.2589507887509781,6.630143231883044
12_hours,1,GHI_d1_d2,15,4,46,52.18926988863524,126.25807317875993,0.34872216291500724,95.6260749603984,0.26411722317391273,0.22622515365137885,22.244569392552986
12_hours,1,GHI_d1_d2,15,5,41,50.05650974735697,123.91305946726382,0.3422452839879824,96.24245861915108,0.2658196619744905,0.254701146445231,8.35300051161855
12_hours,1,GHI_d1_d2,15,6,37,49.342369687881636,123.51521564626101,0.3411464476579994,98.61849958650042,0.2723822375345943,0.25947927948691685,-2.3399985122733944
12_hours,1,GHI_d1_d2,15,7,46,50.57619709648735,123.95367578320082,0.34235746540487394,95.25025529621219,0.2630792171053784,0.2542124771313209,13.142874009464668
12_hours,1,GHI_d1_d2,15,8,26,54.424205616139396,129.1041575636486,0.3565829885838087,101.45986012897188,0.2802300160492334,0.1909474157587392,14.043658654284847
12_hours,1,GHI_d1_d2,15,9,37,50.89668233009873,124.45194034392284,0.34373366172202247,97.74294063101989,0.26996396197385064,0.24820464620080174,6.979118156915732
