samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
12_hours,1,GHI,15,0,29,52.6212794850608,126.33902304872717,0.3489457447663056,98.80807082371167,0.27290582933512164,0.22523263014229022,12.812613828045725
12_hours,1,GHI,15,1,31,51.296640611237585,123.55349332097815,0.3412521697966528,98.79594786959801,0.2728723459888848,0.25902022991525486,4.679131210150616
12_hours,1,GHI,15,2,24,52.98104526619581,127.61928527467896,0.3524818023132965,101.08033381229372,0.2791817722838799,0.20945078962047614,8.633446449006804
12_hours,1,GHI,15,3,48,48.646238728188166,124.07344429031693,0.34268826352177134,96.91035541862948,0.2676643789945923,0.252770567310191,1.5446868716669637
12_hours,1,GHI,15,4,29,52.723435212318634,126.9458680303677,0.35062183793978674,99.1736343166054,0.27391550807260856,0.21777186546340221,12.795550385339078
12_hours,1,GHI,15,5,27,52.48360655034957,126.88751662374374,0.350460672572577,99.05914412038017,0.2735992885402251,0.21849081161530626,12.321076591367193
12_hours,1,GHI,15,6,47,51.127968573261285,124.93253050822041,0.34506104172513913,96.27970793480155,0.2659225438068652,0.2423870901277021,13.709270220598166
12_hours,1,GHI,15,7,33,50.64246558575033,122.8671127669454,0.33935640103225695,98.99762189863371,0.273429365447827,0.2672301378212327,0.9345311864954596
12_hours,1,GHI,15,8,39,51.04872454510346,124.84115134542232,0.34480865438471775,96.22288083916284,0.26576558855478205,0.24349496354949074,13.107921473597832
12_hours,1,GHI,15,9,29,52.76929074072334,126.6587388210487,0.3498287930564862,98.7557753292528,0.2727613902709155,0.22130638841883987,13.91127936489942
