samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
12_hours,3,GHI_d1_d2_d3,25,0,13,53.67551683735602,204.00085297790716,0.5636227848626674,176.55326183120846,0.4877893384135509,-1.0153664842233092,-144.7805827948767
12_hours,3,GHI_d1_d2_d3,25,1,16,53.10866554253529,189.70211215241383,0.5241175768870574,164.1228122935663,0.4534459301227068,-0.7427472175367935,-123.87421074103167
12_hours,3,GHI_d1_d2_d3,25,2,12,54.501198542163785,215.45930796122724,0.5952807226293383,186.8223365012867,0.5161612024475655,-1.2481256796440223,-160.60225498191267
12_hours,3,GHI_d1_d2_d3,25,3,16,53.60426146648282,202.81912328001167,0.5603578485961759,175.51480650852793,0.48492024707211395,-0.9920850095639131,-143.13774021798386
12_hours,3,GHI_d1_d2_d3,25,4,16,53.15232726585045,191.71713157076363,0.5296847636882109,165.85110906556167,0.4582209466262244,-0.7799668346971131,-126.9474355682793
12_hours,3,GHI_d1_d2_d3,25,5,12,54.816516601993406,219.3557084833212,0.6060458742507425,190.30779479354925,0.5257909842868621,-1.3301718269236367,-165.81719026966454
12_hours,3,GHI_d1_d2_d3,25,6,16,53.6787054857594,204.06898275085038,0.5638110168812976,176.63714227181566,0.48802108708930597,-1.0167128451522012,-144.92737356593935
12_hours,3,GHI_d1_d2_d3,25,7,17,53.10676667246587,189.57257354183778,0.5237596817539031,164.01409882777935,0.45314557164162944,-0.7403679506689984,-123.68051314462944
12_hours,3,GHI_d1_d2_d3,25,8,12,53.51094199601072,200.93866376677346,0.5551624299878645,173.84449387325586,0.48030543176452645,-0.9553165898890439,-140.40776298322106
12_hours,3,GHI_d1_d2_d3,25,9,13,55.78703197004611,230.1823825753149,0.6359582991913914,199.8886892808708,0.5522615129811925,-1.5658675088130534,-179.81611840850533
