samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
24_hours,4,GHI_d1_d2,10,0,15,50.703985973952946,212.29317196380563,0.584709135183466,183.28954113335706,0.5048257939380706,-1.4184966879090388,-162.70940788397687
24_hours,4,GHI_d1_d2,10,1,16,52.82647056802515,226.30651466374195,0.6233054282969641,196.53438353220093,0.5413054426852741,-1.7483216375396329,-180.40675240018925
24_hours,4,GHI_d1_d2,10,2,15,50.7588449849412,212.80279008183342,0.5861127524845287,183.70369249941658,0.5059664716378931,-1.4301220177602243,-163.27143352056453
24_hours,4,GHI_d1_d2,10,3,18,48.25377302312285,188.57851139563752,0.5193929568828888,162.06393604590468,0.44636510450739025,-0.9083492175173979,-130.38026622903908
24_hours,4,GHI_d1_d2,10,4,18,51.7864870534386,219.57497437420383,0.6047650623269293,190.23285010671665,0.5239494244701767,-1.5872543529293752,-172.14957722419555
24_hours,4,GHI_d1_d2,10,5,18,50.4732870194365,210.55694969190358,0.5799271395417823,181.66270305783445,0.5003450700625776,-1.3790994996571624,-160.4132203475593
24_hours,4,GHI_d1_d2,10,6,17,51.26259684509736,216.19801177059378,0.5954640524770205,186.9698927942761,0.5149624140512878,-1.5082847415743905,-167.76763861326592
24_hours,4,GHI_d1_d2,10,7,18,51.683437969294545,219.01177496021285,0.6032138685732901,189.63448379447738,0.5223013721766625,-1.5739990045743828,-171.3429902940421
24_hours,4,GHI_d1_d2,10,8,27,47.65559331349778,179.8244649505237,0.4952820969860332,154.45867029073315,0.4254182774313648,-0.7352857418432361,-117.52554555117092
24_hours,4,GHI_d1_d2,10,9,15,48.64160720794998,193.64361649673302,0.5333435385048915,166.48793935038978,0.4585499294939202,-1.0122401710149775,-137.67160526046445
