samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
24_hours,1,GHI_season,10,0,0,48.35437568887611,126.40071405987055,0.348139563419968,101.05247668343858,0.27832410106809513,0.14262167612464083,10.498930851622944
24_hours,1,GHI_season,10,1,0,48.69754157131169,126.86747124705894,0.34942513086774313,101.34913705843199,0.2791411788370173,0.13627794017899608,11.993701886926496
24_hours,1,GHI_season,10,2,0,48.451275468565704,126.67247666045739,0.3488880664155869,101.73344214540738,0.2801996523289971,0.1389309716169146,9.283362984449424
24_hours,1,GHI_season,10,3,0,48.40876520811458,126.50592691816433,0.34842934626514416,101.61738102096349,0.27987999061272867,0.14119376065901756,9.439509941440663
24_hours,1,GHI_season,10,4,0,48.449886000775535,126.47239689159171,0.34833699608421936,101.32797260219635,0.27908288656700364,0.14164894850051113,10.157165492115631
24_hours,1,GHI_season,10,5,0,48.49471379710397,126.67619256685136,0.3488983009624352,101.13976898516057,0.27856452616408806,0.13888045237353874,11.402204804813993
24_hours,1,GHI_season,10,6,0,48.52825593178217,126.71075451691372,0.3489934933218704,101.21315477469457,0.2787666492052403,0.13841049775487213,11.476141940078055
24_hours,1,GHI_season,10,7,0,48.44432180347881,126.66593374697244,0.3488700455755854,101.09952758769755,0.27845369116882407,0.13901992155780318,11.157126468344297
24_hours,1,GHI_season,10,8,0,48.48931280628791,126.56158052201317,0.3485826303782189,100.99353379238892,0.27816175742542376,0.1404379672074919,11.69536813135052
24_hours,1,GHI_season,10,9,0,48.54195039560961,126.77719980209692,0.349176500457131,101.74016370315866,0.2802181652005297,0.1375066507126238,9.845388621037095
