samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
24_hours,2,GHI_season_d1_d2_d3,20,0,0,53.30137876672221,131.9937674307574,0.36437099044707427,105.11529268920403,0.2901725138529111,0.0631258942550369,25.92773802786666
24_hours,2,GHI_season_d1_d2_d3,20,1,0,52.96288157763986,131.6211071534232,0.3633422555530288,106.01011743212631,0.29264269243938246,0.06840861192196857,21.5198048211438
24_hours,2,GHI_season_d1_d2_d3,20,2,0,52.90456726280447,131.35854365139588,0.3626174446384594,105.56328656950426,0.29140920841096934,0.07212166268338505,22.17356336559763
24_hours,2,GHI_season_d1_d2_d3,20,3,0,53.110710781967455,131.71252018872408,0.36359460275745137,105.5283272093664,0.2913127025158292,0.06711415131970333,23.996603885425944
24_hours,2,GHI_season_d1_d2_d3,20,4,0,53.208007624759865,131.94690257345852,0.3642416192289968,105.50338252722506,0.2912438423058727,0.06379105712678057,24.539150721999704
24_hours,2,GHI_season_d1_d2_d3,20,5,0,53.19037325667858,131.82886345460594,0.36391577027805766,105.53599120753817,0.2913338591102578,0.06546536468484954,24.091185805211794
24_hours,2,GHI_season_d1_d2_d3,20,6,0,52.85108230882539,131.4309071724416,0.36281720534192974,105.7434750928353,0.2919066218267033,0.07109907159487094,21.950100588081614
24_hours,2,GHI_season_d1_d2_d3,20,7,0,52.92080148451333,131.43743971788234,0.36283523854227484,105.65928679060833,0.2916742186181004,0.07100673047880945,22.366884652192876
24_hours,2,GHI_season_d1_d2_d3,20,8,0,53.203392958932994,131.83277283013877,0.36392656217424074,105.06068967443248,0.2900217813224214,0.06540993674724183,25.393506085339993
24_hours,2,GHI_season_d1_d2_d3,20,9,0,53.0180836784028,131.62298022741263,0.3633474262049315,105.48571337737496,0.29119506632382025,0.06838209714707466,23.211885759730176
