samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
24_hours,3,GHI,15,0,0,49.02359607848384,126.30935962556984,0.34867908815200704,97.1416524093588,0.26816114723471063,0.1420826466413846,22.27697986030853
24_hours,3,GHI,15,1,0,48.805171918696296,125.98957697516441,0.3477963228266129,97.10700682496972,0.268065507522744,0.14642119760775274,20.886833511807744
24_hours,3,GHI,15,2,12,55.53606197162699,138.37803418013337,0.38199486499833873,107.1560030816035,0.2958059288342988,-0.02969522595278784,42.248835680582765
24_hours,3,GHI,15,3,0,49.035910966645844,126.40021481417212,0.34892989541133945,97.23373627478367,0.2684153462768484,0.1408479910812701,22.05247772103663
24_hours,3,GHI,15,4,0,48.60046815982407,125.87862737928765,0.34749004462176863,97.16365204066564,0.2682218775828534,0.14792390165652547,19.499805248574635
24_hours,3,GHI,15,5,0,48.73454485231611,125.53228856791874,0.3465339705723257,97.79130976916294,0.2699545371822113,0.1526062064253555,17.539568976969043
24_hours,3,GHI,15,6,0,48.59633263067051,125.70899996016082,0.34702178530985345,97.58927067970194,0.26939680491523477,0.15021878027523183,17.81863760842509
24_hours,3,GHI,15,7,0,48.797845701360764,125.76657259130577,0.3471807155157356,97.64015811155625,0.2695372805172801,0.14944023070512968,17.493837059709954
24_hours,3,GHI,15,8,0,49.25816791243055,126.56073901130117,0.3493730251275158,96.9758742092946,0.2677035137560419,0.13866441472819546,24.163941128123984
24_hours,3,GHI,15,9,48,49.129452512992906,126.69948460941545,0.349756034658868,97.1682564841627,0.2682345882257128,0.13677485516966048,22.828880952685292
