datetime,GHI,GHIcs,k,GHI_d1,GHIcs_d1,k_d1,GHI_d2,GHIcs_d2,k_d2,GHI_d3,GHIcs_d3,k_d3,month,day,hour,year
2016-01-08,45.87469780116519,212.02074299657002,0.25567894828858057,0.00027414019921067473,-1.3323838879145774e-05,9.353570105003841e-06,-3.232475098665727e-07,-9.866617083581613e-07,1.3782529002714844e-08,8.32118022928016e-06,-1.0371665386679705e-07,2.7647234444930113e-07,0.25881904510252074,0.07310493908081243,0.9557451052224617,2016
2016-01-10,75.86468903803132,214.90372951234957,0.335605825230393,-0.00045352348993288793,3.536317911371168e-07,-1.510675688606801e-05,3.3929903057448935e-07,-2.8128671828133574e-09,-1.8594034172082083e-09,-1.3707494407158603e-05,1.1452813889077433e-08,-4.526448855568774e-07,0.25881904510252074,0.09025876453746431,0.9551733192184644,2016
2016-01-12,89.45707141522513,218.27718303883475,0.3991271809704713,0.0008261561228264883,3.784950113219196e-06,2.7287721256013398e-05,-1.7388087310318228e-07,-4.107038367526977e-09,1.806933392152789e-08,2.483684794672601e-05,1.1478061490677314e-07,8.132108375039439e-07,0.25881904510252074,0.1073898498535705,0.9546404569638692,2016
2016-01-14,122.71760982764944,221.8832272911383,0.5326071547871071,-0.0007278144481114776,-2.918284596065399e-06,-2.402624856295109e-05,1.980198019801871e-07,-2.28943030185965e-09,-1.4374338137580437e-08,-2.189383938393867e-05,-8.68617087912593e-08,-7.164751554472604e-07,0.25881904510252074,0.12448750626128381,0.9540346830245944,2016
2016-01-16,126.37454689203926,225.439819876031,0.5667055767185295,0.00032560886950199917,-5.326781112564448e-07,1.0837972920517592e-05,2.271901126863423e-07,-2.0121078104437588e-09,1.7108229956867882e-08,9.700109051254304e-06,-1.537671099331434e-08,3.2000671862846766e-07,0.25881904510252074,0.14154827614667506,0.9533920319340528,2016
2016-01-18,123.88425224861224,228.9304472296162,0.5647433343172118,2.1981981981981937e-05,2.497816403007257e-07,7.230077123780001e-07,-3.873873873873527e-07,-2.0472812640188965e-09,-1.2073019142908321e-08,7.75675675676027e-07,8.107633587609573e-09,2.5312137114213204e-08,0.25881904510252074,0.15856710403629004,0.9527604969704828,2016
2016-01-20,128.90688712270048,232.77478902541927,0.5734452444103253,5.8171101982496445e-05,2.458700756464599e-06,1.844679389833e-06,-1.607429898194058e-07,-2.902422475862867e-09,-3.5995303818153847e-09,1.793355956421079e-06,7.463174943684941e-08,5.642024080953495e-08,0.25881904510252074,0.1755397019547766,0.9521114324006952,2016
2016-01-22,242.72721369184504,236.80800652011206,1.0292383456375054,-0.00015045108791791992,-4.364075872245402e-07,-4.968025342067685e-06,8.491066690256165e-08,-2.1190418117641895e-09,-1.568502636270585e-09,-4.539005837607717e-06,-1.2456515073373661e-08,-1.4857020947114564e-07,0.25881904510252074,0.19245951150595264,0.9513799541699451,2016
2016-01-24,218.872641064457,241.26088891049122,0.9562248601361287,3.943908851884351e-06,1.19749519943322e-06,9.811687237728743e-08,6.485539000913217e-08,-2.7431795848163867e-09,2.267229156310019e-09,9.886064855372981e-08,3.674780985861834e-08,2.263337424427522e-09,0.25881904510252074,0.20931934636938207,0.9507174662845445,2016
2016-01-26,210.39145411861097,257.8581431603215,0.8531042849643499,0.0006098128190584231,-2.3955382532537096e-06,2.0305070231511473e-05,-2.7793533749263477e-07,-1.863435889095324e-09,9.30411653514843e-09,1.8377765173000093e-05,-7.1307116830149e-08,6.063608719848012e-07,0.25881904510252074,0.2264853225437647,0.9504988849342711,2016
