samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
15_minutes,3,GHI_season_d1_d2,25,0,12,33.87823964126722,83.57020433463113,0.22680328831954413,57.75182070440971,0.15673412487724378,0.8959821831690272,-15.021159660573641
15_minutes,3,GHI_season_d1_d2,25,1,15,39.55934491781591,81.50807309168593,0.2212068182550019,56.80438866921157,0.15416286514713956,0.901052219097076,13.370347819065932
15_minutes,3,GHI_season_d1_d2,25,2,14,34.809595568581116,85.798359238787,0.23285033419159132,63.327276831277864,0.17186549608212462,0.8903615791343673,-27.24071827438712
15_minutes,3,GHI_season_d1_d2,25,3,23,59.88632753826839,157.18227274009752,0.42658094002314867,125.03729710372396,0.339341878741352,0.6320304053205612,-87.24214421991022
15_minutes,3,GHI_season_d1_d2,25,4,22,42.49683868770437,96.136606832867,0.260907565455621,74.71614296681639,0.2027740275418334,0.8623480445242407,-45.344485309280245
15_minutes,3,GHI_season_d1_d2,25,5,13,42.523628942491435,94.1307729088536,0.2554638821068582,65.4187008759189,0.1775414646210526,0.8680321760133609,37.704554907839345
15_minutes,3,GHI_season_d1_d2,25,6,12,38.96317331458167,90.54192361236903,0.24572401335570954,67.49580325378358,0.18317856522678647,0.8779032116243576,-32.488949496191836
15_minutes,3,GHI_season_d1_d2,25,7,13,29.452070187838643,77.76055841057203,0.21103634350901418,50.96986750683852,0.13832841079906266,0.9099417408629407,-6.96874234947313
15_minutes,3,GHI_season_d1_d2,25,8,14,34.73892474928799,82.03319652546045,0.22263196400523622,57.071525719673694,0.1548878551356071,0.8997731512835121,2.0523891395336205
15_minutes,3,GHI_season_d1_d2,25,9,17,26.376453269394812,76.57492304538258,0.2078186177452221,50.27141198911056,0.1364328547282492,0.9126670874013348,-2.6693977733335936
