samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
72_hours,3,GHI_season_d1_d2,5,0,0,27.024472613204146,95.77909470509542,0.26310766118020984,76.19174929775741,0.20930071453155397,0.13986176766367364,24.865496333518056
72_hours,3,GHI_season_d1_d2,5,1,22,27.267601774949345,97.03916078040734,0.26656909542145674,77.3521503873992,0.21248836646819705,0.11708100471195715,25.37401710627778
72_hours,3,GHI_season_d1_d2,5,2,27,27.630173155837635,98.15087563973732,0.26962300501872544,77.91031946960359,0.21402167143640624,0.09673506037134227,28.804303779107254
72_hours,3,GHI_season_d1_d2,5,3,0,26.999916144212712,95.65917630283451,0.2627782422141141,76.00497715930763,0.2087876466155076,0.14201425890641062,25.17334445076813
72_hours,3,GHI_season_d1_d2,5,4,0,27.045582921744465,95.92071323640417,0.26349669096449785,76.19431365625812,0.20930775889096898,0.1373162942796452,25.098073567074938
72_hours,3,GHI_season_d1_d2,5,5,0,27.029100653026433,95.82260094646993,0.26322717395541445,76.36237836224495,0.20976943700408215,0.13908017997541855,24.518540548839443
72_hours,3,GHI_season_d1_d2,5,6,25,26.658971453668475,94.74171920204459,0.2602579637257315,75.6811211695693,0.20789800579898482,0.158393038902649,20.91739782285132
72_hours,3,GHI_season_d1_d2,5,7,0,27.040810297199787,95.76765441177689,0.2630762343972827,76.15263256145127,0.20919325984079706,0.14006723308431535,25.499761895051993
72_hours,3,GHI_season_d1_d2,5,8,0,27.050445224347197,95.88802317442114,0.26340689051505034,76.12354493681845,0.20911335538033005,0.13790420438450346,25.444227823014764
72_hours,3,GHI_season_d1_d2,5,9,22,29.76032286905453,105.563813938941,0.28998653909035116,81.3807297876626,0.2235549787299403,-0.04485720437007368,47.550274143603396
