datetime,GHI,GHIcs,k,GHI_d1,GHIcs_d1,k_d1,GHI_d2,GHIcs_d2,k_d2,GHI_d3,GHIcs_d3,k_d3,month,day,hour,year
2019-01-04,101.64349650963523,209.7558492542569,0.5218349247621479,-0.00015418319169027366,-5.251847908786804e-07,-5.088204980749527e-06,-3.0217186024542577e-07,-2.0046968170657573e-09,-1.4189079768058648e-08,-4.534844192634539e-06,-1.5154134681505713e-08,-1.483894254920685e-07,0.25881904510252074,0.05599182068920124,0.9559508761903428,2019
2019-01-10,146.95261290591299,218.89097693474892,0.7140412564559796,0.00015535582368874677,8.036444087767756e-07,5.104124904346249e-06,2.5301649839957157e-07,-3.2272530389158908e-09,1.2991482716495904e-08,4.584769761142247e-06,2.50775081750167e-08,1.4922630231543893e-07,0.25881904510252074,0.10747351739518585,0.9545269385217658,2019
2019-01-16,186.55359408489284,229.7115887998514,0.8458729479668023,-5.7035748560460666e-05,-7.582694885064185e-07,-1.8358002414204176e-06,-4.258637236059625e-08,-1.8395869756220331e-09,-2.8627159463468906e-09,-1.6982965451053626e-06,-2.219620856250885e-08,-5.421519245870765e-08,0.25881904510252074,0.15865387601478356,0.9526519246967254,2019
2019-01-22,183.18856926886383,241.8900461731543,0.7714775813674665,-0.00030176041970271034,1.1713692583611128e-06,-1.0056708409476814e-05,4.6225590206928356e-07,-2.6946525938834953e-09,6.224886890609664e-09,-9.191489361702301e-06,3.594947352881804e-08,-3.0356871835148735e-07,0.25881904510252074,0.2094144305969107,0.9504722814425619,2019
2019-01-28,141.62455909569738,256.17957809559505,0.5567364680700442,0.00011679186670432062,-2.435970108606948e-07,3.869034072524451e-06,-3.89155605760843e-07,-2.3644531547392182e-09,-9.168006285660043e-09,3.6205026828577353e-06,-6.598574379248036e-09,1.1882142406143198e-07,0.34008905791914656,0.2596154419378613,0.9479284455374801,2019
2019-02-03,189.3890760990945,272.1557903535705,0.7278246093385564,6.55451168887796e-07,-6.13738681454052e-07,4.435635623683461e-08,-7.1007209963560094e-09,-2.141885701201736e-09,-1.0876080763078952e-10,2.1793751365725533e-08,-1.776959473335159e-08,1.3633189293951868e-09,0.5,0.30911952533385534,0.9448787139711904,2019
2019-02-09,220.0701037161477,289.49837003796233,0.8311964715723318,0.00021553162284869626,4.2616126652191093e-07,7.125485464728493e-06,-1.3726111287046134e-08,-2.2601724500258784e-09,6.3592014129023745e-09,6.4700665188473285e-06,1.3462889730455866e-08,2.118568035179843e-07,0.5,0.35779325073619134,0.9410852757357472,2019
2019-02-15,353.9584452698248,309.6732650490564,1.254061025056575,1.7818959372753887e-07,-8.501135889015715e-07,7.576317256840136e-08,-6.109357499235132e-08,-3.174613197813809e-09,-1.6444320547282232e-09,2.3673760309337038e-08,-2.4551023707936982e-08,2.766224793469787e-09,0.5,0.40552452033957387,0.9370857589301019,2019
2019-02-21,357.1629737240151,331.81610481409837,1.161632481862309,-3.8418883109235265e-05,1.0918583432368375e-06,-1.3601607442784714e-06,2.502698989103919e-07,-3.3633629995691654e-09,7.086262917694307e-09,-1.2276474629502495e-06,3.3764759196960165e-08,-4.293070120366252e-08,0.5,0.45215785859540614,0.9331170614703096,2019
2019-02-27,254.2595906455918,354.09882475594026,0.7698267666071194,-0.0001559570035041197,-4.15553228845082e-08,-5.156324781965162e-06,-1.2122360071977126e-07,-2.354396143785038e-09,-8.964109871589486e-09,-4.6423430249077235e-06,-5.403408436103851e-10,-1.5200051049747712e-07,0.6388688332986794,0.4975857478185159,0.9283642753160555,2019
2019-03-05,209.01337597051636,376.09499119135734,0.5556846522473433,-6.96288839060996e-05,1.7863632947231535e-07,-2.307059978138585e-06,-1.0387589804584505e-07,-1.8488860245408645e-09,-5.672636688435201e-09,-2.0577037477694692e-06,5.913755692069781e-09,-6.75100083376272e-08,0.7071067811865475,0.5416879881190271,0.9232194029686972,2019
2019-03-11,272.9083035021321,397.5031902276467,0.7250884709507653,0.0003030454605816471,-1.018759378089995e-06,1.0109791850585588e-05,1.5492895400323343e-08,-7.590913854890084e-10,1.0888664856111969e-08,9.08671594882884e-06,-3.033505392770862e-08,3.0002715606073356e-07,0.7071067811865475,0.5843449565376482,0.918369422704322,2019
2019-03-17,378.8898439455406,417.6709944149594,0.9822101574861327,-2.6218256691830947e-05,6.439587537360326e-08,-8.786331210002788e-07,-6.949210706864645e-08,-4.787234505705856e-10,-3.1522843208052037e-09,-7.657000686341813e-07,2.0754932966533874e-09,-2.541330833376768e-08,0.7071067811865476,0.6254449827905351,0.9132380548613066,2019
2019-03-23,473.8348289242771,444.3933020720493,1.1306419739235631,0.001794113816903242,0.001947220962859127,-7.1912880396130016e-06,-3.8286235186862867e-07,-3.811042060187357e-08,-5.979761246309876e-09,5.393827321265729e-05,5.842806201195435e-05,-2.1394471281449758e-07,0.7071067811865475,0.6641956034120987,0.9087254195365077,2019
2019-03-29,397.83327520227846,454.0945935546022,0.9318749942720936,-0.002162143172779497,-0.0019816596835708043,-3.855214839134556e-06,5.846221829432333e-07,3.91392103695204e-08,9.920582369443255e-10,-6.503968183826681e-05,-5.946153227023545e-05,-1.1595406264511957e-07,0.7945014899020029,0.7039625095803724,0.9058327460180237,2019
