samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
6_days,3,GHI_season_d1_d2,15,0,23,35.45998484447764,161.72245165975133,0.45193040583643157,138.53157094098313,0.3871239177614949,-2.1936602370783764,-134.85671810953184
6_days,3,GHI_season_d1_d2,15,1,24,34.881423038562396,159.89724511121184,0.44682989982906407,136.45751461012702,0.3813280056311033,-2.1219794550826605,-132.66902318555583
6_days,3,GHI_season_d1_d2,15,2,24,30.21031758592419,143.16692465353626,0.4000773281445933,118.76497322426442,0.3318865253249975,-1.5028422076202648,-112.15668271372056
6_days,3,GHI_season_d1_d2,15,3,24,29.24157045188599,139.5799896028775,0.3900537043588022,115.09599382091976,0.321633630110129,-1.3789997776191942,-108.19847874308525
6_days,3,GHI_season_d1_d2,15,4,24,31.4242080065059,147.60360928795387,0.41247556145618747,123.36404929496716,0.3447385585076146,-1.660369943744708,-117.35866339374152
6_days,3,GHI_season_d1_d2,15,5,19,34.36363269225178,158.43061419972764,0.44273142682029587,134.62865014924873,0.3762172776552285,-2.06497043696938,-130.59296317934695
6_days,3,GHI_season_d1_d2,15,6,23,29.936415247623888,141.70075171783333,0.3959801349406918,117.37677185631652,0.32800722222786594,-1.4518414708815666,-109.79755364762686
6_days,3,GHI_season_d1_d2,15,7,11,36.35868032024682,165.45464450430833,0.46235994984587503,141.82745134482929,0.39633419470951153,-2.34276621231078,-137.677482639143
6_days,3,GHI_season_d1_d2,15,8,19,30.74364894924478,145.34545615648776,0.4061651942148388,120.93076066226587,0.33793877834099006,-1.5795918529532913,-114.89373133926898
6_days,3,GHI_season_d1_d2,15,9,23,30.01690344819546,142.39191133562866,0.3979115677341123,117.93538741426445,0.32956826309274906,-1.4758180075995653,-110.93196249205451
