samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
45_minutes,1,GHI_season_d1,15,0,34,47.84341101298744,87.75150723008444,0.24407042307572724,58.65531132120236,0.16314280063894213,0.881178448621307,16.667256180923992
45_minutes,1,GHI_season_d1,15,1,24,49.01015489697536,92.06794492837169,0.25607608324562803,64.15056663009823,0.17842720236020995,0.8692014445809036,13.283950095732202
45_minutes,1,GHI_season_d1,15,2,40,37.07660317172872,83.136043158346,0.23123305646815046,53.18748828748531,0.14793469854169405,0.8933490446670762,3.9379239346896435
45_minutes,1,GHI_season_d1,15,3,26,39.486014960879515,86.82724812389847,0.24149970585161254,57.84056288860276,0.16087667438172046,0.8836682871323644,-0.8927453163438716
45_minutes,1,GHI_season_d1,15,4,25,64.83953942742146,106.50978836234188,0.29624436010132266,83.79733923138976,0.2330723731639071,0.8249487999177334,-20.1239985193226
45_minutes,1,GHI_season_d1,15,5,0,38.23079056275848,83.83546812263565,0.2331784241584888,54.19329606384253,0.15073223373233977,0.8915469833825542,12.655827183461856
45_minutes,1,GHI_season_d1,15,6,44,38.32072145569679,83.78952950306503,0.23305065132964475,53.959658372689134,0.1500823981690972,0.8916658070012676,9.814154255337323
45_minutes,1,GHI_season_d1,15,7,23,38.69492650585519,94.52965360105082,0.26292303432596226,67.90013322062606,0.1888561776905276,0.8621133622263567,-27.901186693051336
45_minutes,1,GHI_season_d1,15,8,23,38.916530858490965,89.07902637356197,0.24776276032687142,58.47171950261514,0.16263216174224107,0.8775561512642494,-5.443980781828574
45_minutes,1,GHI_season_d1,15,9,37,42.96192824267812,85.83834678059046,0.23874919390190333,56.02207819189017,0.155818774599787,0.8863030699654283,15.924250411995
