samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
45_minutes,1,GHI_d1,5,0,0,34.3948634330939,81.25377451274375,0.2260169601370228,53.27532494583677,0.14819160176591686,0.898093858116435,3.3245724820234974
45_minutes,1,GHI_d1,5,1,34,40.198876994341084,83.2931307353673,0.23168967007373603,59.73007945483076,0.166146262965376,0.892914259793355,-8.875131282366182
45_minutes,1,GHI_d1,5,2,31,40.05519172752353,83.6043855866208,0.23255546216438142,59.46227653052611,0.16540133753600228,0.8921124353831185,-7.844629156248414
45_minutes,1,GHI_d1,5,3,10,45.929064830484876,92.55548465030165,0.25745400026172477,67.74705011439349,0.18844641269808637,0.8677737780705288,18.03261693022569
45_minutes,1,GHI_d1,5,4,12,41.58510357727885,94.80718869482584,0.2637173807178755,69.26844144785338,0.1926783421860326,0.8612618791168578,-8.01867202948821
45_minutes,1,GHI_d1,5,5,48,38.67870894910826,84.63584568621654,0.23542459012319025,61.774152079717744,0.17183209213142667,0.8894339112730908,-13.569981703144158
45_minutes,1,GHI_d1,5,6,31,40.414508794120415,83.40781494248724,0.23200867772629633,59.594062347136024,0.1657679153330088,0.8926191694820653,-7.559989614286246
45_minutes,1,GHI_d1,5,7,31,40.388970627424506,83.50030875568174,0.23226596018012774,59.37747643336533,0.16516545606102417,0.8923808807919854,-6.941217925649196
45_minutes,1,GHI_d1,5,8,10,44.58358660980118,107.65053766597055,0.29944267114092915,82.15726277970593,0.2285301193452296,0.8211266349864172,-37.86595854553328
45_minutes,1,GHI_d1,5,9,0,40.14898795246954,80.66489188811889,0.2243789136401878,54.30249801171735,0.1510488048346622,0.8995656246699161,-0.3751163310610077
