samplingFrequency,polynomialAugmentation,features,history,nbIter,nbEpoch,MAPE_min,MAPE_med,MAPE_max,MAPE_std,MAPE_CI,MAPE_mean,RMSE_min,RMSE_med,RMSE_max,RMSE_std,RMSE_CI,RMSE_mean,nRMSE,MAE_min,MAE_med,MAE_max,MAE_std,MAE_CI,MAE_mean,nMAE,R2_min,R2_med,R2_max,R2_std,R2_CI,R2_mean,MBE_min,MBE_med,MBE_max,MBE_std,MBE_CI,MBE_mean
45_minutes,5,GHI_d1_d2,25,10,23.4,62.49120878,75.48237834,109.4446215,14.05693112,0.540559867,77.10479343,96.24210103,130.1960167,171.0066511,24.19101615,0.552919093,126.9856602,0.353197887,73.62722449,97.8214724,132.5213467,18.20217063,0.559071602,97.07832291,0.270013626,0.548906825,0.738521563,0.857120329,0.099407605,0.388251062,0.743133324,-25.23744499,6.620070716,47.60231259,23.11155312,14.15835469,4.808866998
45_minutes,5,GHI_d1_d2_d3,5,10,12,181.5100122,182.0732477,183.2009076,0.479361917,0.008234631,182.2562391,260.7404837,261.1643185,261.3783958,0.180165751,0.002164777,261.0919855,0.726258161,219.6900404,219.7415791,219.7684808,0.023133729,0.000315204,219.7311646,0.611208158,-0.054514721,-0.052788066,-0.04937377,0.001451836,-0.08724947,-0.05220543,-59.42925163,-58.48310626,-56.58763974,0.805234547,-0.043354491,-58.1726734
45_minutes,5,GHI_d1_d2_d3,10,10,0,182.4064362,182.5532508,184.9556984,0.771667073,0.011501067,182.8167726,260.1896845,261.0240612,261.1026441,0.274324626,0.00292718,260.9253897,0.725733064,219.6368853,219.7829462,219.7923127,0.052555033,0.000645344,219.7550479,0.611222636,-0.051982677,-0.051349563,-0.044638909,0.002206646,-0.121535195,-0.050555891,-58.04515967,-57.72683925,-53.78532082,1.281184119,-0.061296204,-57.3309322
45_minutes,5,GHI_d1_d2_d3,15,10,8.2,144.2131744,182.6830252,213.6679926,16.79605002,0.30688952,182.8967289,180.1366408,260.6957328,261.1026441,25.20369508,0.255707294,251.5720593,0.699717884,154.6728937,219.7603146,220.486515,20.53664705,0.241500097,213.088021,0.59267909,-0.051982677,-0.048706723,0.499285499,0.171273131,30.14069799,0.014591384,-58.04118861,-57.03384902,15.42907869,26.2060226,-1.590811562,-43.13771319
45_minutes,5,GHI_d1_d2_d3,20,10,3.3,182.8908126,183.2437912,225.9678121,13.45653595,0.180549915,187.7264401,254.0192534,260.83359,260.9870586,2.379809287,0.024396011,259.7168584,0.722376412,217.3607784,219.8116197,222.0699916,1.110871637,0.016691495,219.7838086,0.611306637,-0.050698706,-0.049463382,0.004655267,0.01892514,-1.241512002,-0.040574911,-57.32952084,-56.73842809,13.57650343,22.0641292,-1.1479058,-48.97358269
45_minutes,5,GHI_d1_d2_d3,25,10,0,182.4983689,183.5296929,187.4245357,1.390676019,0.022850148,183.7717803,259.4301063,260.7299255,261.0259121,0.447436156,0.005183788,260.6138386,0.724871273,219.560074,219.7987878,219.8254894,0.083826189,0.00106929,219.75696,0.61123196,-0.051011567,-0.04862936,-0.03819994,0.00359156,-0.227419469,-0.047698568,-57.55721866,-56.16902463,-49.76353365,2.270554422,-0.11941398,-55.78900125
45_minutes,5,GHI_season,5,10,34.2,31.40934175,36.07540071,39.0191849,2.373795969,0.202811215,35.682349,78.33567419,78.56963585,80.67857604,0.744598172,0.026760753,78.93441833,0.219565397,48.85487187,51.69506245,55.72794278,1.985271766,0.118377839,51.69626753,0.143799267,0.899531546,0.904715376,0.905282017,0.00182619,0.005731608,0.903820863,-7.988174581,5.674523433,13.75595024,7.456039315,5.425870483,3.748972312
45_minutes,5,GHI_season,10,10,28.8,30.41256826,34.28592366,38.01934938,2.427652708,0.207205772,34.55522361,78.14535833,79.67212268,88.29127832,2.987244178,0.108821859,80.459442,0.223788407,50.01463149,52.92032325,64.42211541,4.006378872,0.219376732,53.65233894,0.149227626,0.879712179,0.902050385,0.905769299,0.007680611,0.024895645,0.899981916,-10.53734082,-0.294484799,22.93105234,9.371127952,42.61175498,0.679982327
45_minutes,5,GHI_season,15,10,36.7,32.22781811,36.43204045,41.50708207,2.959988995,0.242073915,36.40077923,78.15517545,79.07120258,82.47605943,1.350013059,0.048810117,79.45512147,0.220995009,49.6806127,52.76985718,55.91245204,1.950408354,0.107539028,53.00277179,0.147420931,0.895035642,0.903521576,0.905745622,0.003341073,0.01063618,0.902558791,-8.870293481,2.597104393,5.155357581,4.051010139,8.505924617,1.43771528
45_minutes,5,GHI_season,20,10,25.5,34.18949823,36.60795514,48.12903358,4.20553897,0.321248482,38.03396731,78.50732455,80.03099592,84.36310067,1.788723801,0.066765947,80.34235523,0.223464209,51.46881366,52.826762,58.27768391,2.518732803,0.122801696,53.7256729,0.149432575,0.890214415,0.901199945,0.904926254,0.004491113,0.014941311,0.900385383,-8.358003035,4.460218607,23.42721504,8.40327388,5.341479043,5.090507002
45_minutes,5,GHI_season,25,10,28.2,33.8574808,39.66626351,49.57276225,4.655309734,0.348838948,39.64377263,78.3420754,81.29928485,86.8677838,2.293815491,0.090642002,81.69910969,0.227237886,50.80999229,53.94439407,62.346749,3.387480147,0.189289552,54.98912137,0.15294673,0.883598725,0.898043586,0.905326072,0.005860248,0.021024201,0.896965444,-4.952610655,9.225263343,15.22697501,6.894773018,3.050813206,6.24836653
45_minutes,5,GHI_season_d1,5,10,33,31.35840703,34.69793492,54.29078352,8.256976563,0.578094733,38.2455875,81.44385609,83.87926862,103.1175054,6.98609507,0.226326422,87.05515223,0.242154177,54.09075204,57.361578,73.13353343,6.30727441,0.299218082,59.5700248,0.165701052,0.835873742,0.891401305,0.897616511,0.019839184,0.063285089,0.882344536,-14.33449209,-4.351986556,29.27438275,13.12697562,-31.72929567,-1.215972189
45_minutes,5,GHI_season_d1,10,10,24.2,36.94488749,41.35768444,56.11955423,7.242922966,0.43322946,44.08249776,82.40715811,88.16418882,100.444523,7.276171439,0.194727326,90.05653887,0.250481596,55.05940721,60.52788866,75.83976879,7.755800053,0.310871304,63.81701015,0.177499455,0.84431794,0.879824348,0.895210945,0.02039714,0.056519204,0.874118872,-17.93819538,-4.375154246,25.91377122,16.06479491,11.76976793,3.574664202
45_minutes,5,GHI_season_d1,15,10,31.4,31.44112649,37.25652525,52.73760029,6.641587965,0.492528536,39.37574879,80.60181763,85.98658352,90.74070099,2.893087864,0.104848063,85.64584187,0.238213764,54.76125162,58.80611032,64.32055655,2.955592783,0.151487422,58.65538876,0.163143016,0.872945425,0.885907665,0.899751999,0.00764404,0.026760212,0.886696223,-14.58544259,-3.608618687,14.08443452,9.597746877,-17.1961125,-1.594027125
45_minutes,5,GHI_season_d1,20,10,34.7,31.67392485,42.10634668,53.68114172,6.730616892,0.465703573,43.24548889,82.63446086,86.42916205,96.17935455,4.355366501,0.140620369,87.20751163,0.242558954,54.93297802,58.48641301,67.96187593,4.647371492,0.205171978,60.59923324,0.168550694,0.857306573,0.884764585,0.894667438,0.011925198,0.038158157,0.882423137,-9.337844534,4.683464864,33.99571901,13.21631065,6.353008072,6.141317369
45_minutes,5,GHI_season_d1,25,10,10.8,33.61627781,42.07367138,68.37505089,11.50478023,0.689860603,46.38865892,81.26844207,89.28549525,111.3210355,9.076845066,0.291935715,90.21574113,0.250926042,54.19731462,66.50639026,86.93421214,9.897070182,0.44376033,64.80958792,0.180261373,0.80884101,0.877004597,0.89812113,0.0267443,0.08874911,0.873309611,-27.0187723,-0.629326315,13.94749556,14.71087966,-9.170795335,-4.28286245
45_minutes,5,GHI_season_d1_d2,5,10,25.5,46.80689213,61.05175356,182.3551491,39.9364676,1.534151289,74.32082823,112.6923218,129.8418892,261.0595007,43.69217621,0.859402113,141.9739596,0.394917319,84.21653825,97.15297671,219.7295769,40.25896896,1.015581532,110.322923,0.306876226,-0.051943166,0.739774796,0.803979305,0.256005521,1.044058284,0.662358678,-58.01062904,-7.482746118,32.21292055,23.81481312,-7.635677487,-10.28019254
45_minutes,5,GHI_season_d1_d2,10,10,18,53.63468815,128.0718415,183.2207077,54.94508566,1.006495602,126.2102125,119.382728,170.0406789,261.2081674,61.20292258,0.744722097,190.0138532,0.528501025,88.0833854,142.2689264,219.8048748,56.32515907,0.835860145,156.1471004,0.434304664,-0.052833156,0.54612016,0.780077813,0.368501816,2.127449097,0.390849653,-58.51406281,-20.09852415,45.08785725,40.01503806,-5.799417435,-16.98802514
45_minutes,5,GHI_season_d1_d2,15,10,33.7,57.08929818,61.37822857,143.6709676,26.16689916,0.99255405,70.00468221,106.0794822,128.6853157,177.9973107,18.81265179,0.457821151,131.450578,0.365614212,79.09310394,97.36884465,143.0547167,16.99137334,0.532122092,99.48687236,0.276710951,0.511108,0.744468531,0.826360378,0.084145107,0.359871034,0.728453692,-20.94468821,-6.556560988,54.75661171,24.12011012,41.9433717,1.647054838
45_minutes,5,GHI_season_d1_d2,20,10,12.3,63.85050708,85.469258,106.6812885,14.11787855,0.463723876,86.66080637,111.5584287,139.7427228,172.2795733,19.94611376,0.415455329,137.407699,0.382185743,81.1659853,111.881195,127.2782613,17.44278118,0.428524045,106.6186665,0.296549135,0.542166226,0.698586058,0.808024844,0.086014595,0.352560654,0.70322907,-35.25315385,11.0263732,45.47962226,29.57322321,15.50940998,5.106646977
45_minutes,5,GHI_season_d1_d2,25,10,12.4,59.14085465,74.16460634,149.7748634,26.92468808,0.932874118,84.07840035,111.0866536,135.2707185,279.3590163,48.3239516,0.932587535,150.0147911,0.417251107,80.55978417,102.8471447,225.2443738,41.11244339,1.042667039,114.4748371,0.318400287,-0.203831318,0.717561894,0.809645118,0.298120871,1.333818519,0.620437398,-115.0769784,8.534547831,39.07980188,42.03284087,-36.66481696,-3.477042747
45_minutes,5,GHI_season_d1_d2_d3,5,10,11.7,209.5866897,211.4323292,214.7622486,1.69540604,0.023233008,211.7833268,254.5866872,254.7202948,254.8810689,0.095026829,0.001088598,254.7168955,0.708525096,220.40909,220.6299771,221.0111782,0.201972097,0.002661824,220.6609679,0.613794516,-0.002740209,-0.001475589,-0.000425264,0.000747232,-1.504809604,-0.001448985,-13.32401725,-10.36855351,-5.05522913,2.69057156,-0.801489665,-9.787607391
45_minutes,5,GHI_season_d1_d2_d3,10,10,10,204.8413299,207.8804858,214.1001308,2.617222854,0.038567448,208.3733707,253.282016,254.9729438,255.26247,0.589155422,0.006641456,254.815246,0.708738423,219.2250008,220.2412432,220.8631299,0.474410026,0.006759511,220.1897845,0.612431804,-0.005448855,-0.003169372,0.010092174,0.004623264,-6.86946348,-0.001933635,-20.18440832,-16.19182201,-6.026615166,4.294278272,-0.841537102,-15.05290522
45_minutes,5,GHI_season_d1_d2_d3,15,10,10.4,206.8472912,211.2715476,213.7861907,2.08211884,0.030392613,210.8069623,254.0910537,254.773311,255.0693738,0.267507101,0.003345683,254.7088483,0.708442491,219.7012639,220.606359,220.9311622,0.353503042,0.004911385,220.5106316,0.613324202,-0.003928264,-0.001599075,0.003758114,0.00210155,-6.124315017,-0.001093276,-16.92773944,-10.75376873,-6.733226141,3.206147682,-0.843630244,-11.32000262
45_minutes,5,GHI_season_d1_d2_d3,20,10,10.9,210.515958,214.2271481,218.4607603,2.544610753,0.035396979,214.4437303,254.6132908,254.6868803,254.8920978,0.083928552,0.000975139,254.6940971,0.708406105,220.5543092,221.0439009,221.5696937,0.310946895,0.004306706,221.0711162,0.614887154,-0.002196762,-0.000583645,-5.51E-06,0.000659613,-3.047734057,-0.000640448,-11.93359775,-6.140888817,0.597568516,4.030254371,-2.073649993,-5.783055249
45_minutes,5,GHI_season_d1_d2_d3,25,10,12.1,206.4779584,216.1556162,220.4084535,3.608783433,0.054039227,215.2273628,254.6171887,254.6369545,255.2877115,0.204818585,0.002130785,254.7122083,0.70845648,220.249433,221.2742772,221.8365248,0.406201789,0.006014155,221.1832241,0.615198971,-0.005310161,-0.000191398,-3.61E-05,0.001611057,-5.450034314,-0.000783248,-18.55383653,-3.067206524,3.682055729,5.763659018,-4.073855835,-4.556561631
