samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
4_hours,5,GHI_d1_d2,10,0,15,91.46675026461833,255.28345914441977,0.7911637505559069,189.67403297353295,0.5878297787617758,-0.2911716785223004,-121.25493936569224
4_hours,5,GHI_d1_d2,10,1,14,82.1671272282686,271.73799775471906,0.8421589639716992,199.7277862992524,0.6189879478613266,-0.4629833431696324,-152.86197130594394
4_hours,5,GHI_d1_d2,10,2,12,85.47636287410712,265.0610501217601,0.8214660489302718,195.3502290971827,0.6054212068516666,-0.39197189879686123,-140.6729105773531
4_hours,5,GHI_d1_d2,10,3,15,92.51458387802246,253.77548030879936,0.7864902860261372,188.89631049606336,0.5854194939974253,-0.27596263320222536,-118.08954692262422
4_hours,5,GHI_d1_d2,10,4,14,89.41205463289099,258.3685641147296,0.8007249780140017,191.34964891073827,0.5930227771401808,-0.3225679147368632,-127.61604009755123
4_hours,5,GHI_d1_d2,10,5,14,84.71931177967835,266.5356521512092,0.8260360734673348,196.30183425346004,0.608370381494677,-0.407502767376863,-143.40477149266934
4_hours,5,GHI_d1_d2,10,6,14,88.65282904841888,259.4661727067542,0.8041266403591413,191.9539624466586,0.5948956402124411,-0.33382892404100617,-129.9052597974847
4_hours,5,GHI_d1_d2,10,7,14,91.96937239606429,254.5583427712968,0.7889165004157209,189.29844503268015,0.5866657724256639,-0.2838471142990826,-119.73003739191572
4_hours,5,GHI_d1_d2,10,8,12,87.15804836097566,262.03178897591,0.812077890302226,193.46769083750237,0.5995869235217345,-0.36033728987479585,-134.8981153149924
4_hours,5,GHI_d1_d2,10,9,15,92.58018844614254,253.67408208811395,0.7861760369288944,188.83896426573043,0.5852417689743372,-0.27494319276625423,-117.87151177604566
