samplingFrequency,polynomialAugmentation,features,history,iter,nbEpoch,MAPE,RMSE,nRMSE,MAE,nMAE,R2,MBE
2_hours,1,GHI_season,25,0,18,136.58760021369903,183.7203694892102,0.5552172059161266,153.0986791166044,0.46267608259716075,0.4474584432655445,-0.25027325160917596
2_hours,1,GHI_season,25,1,0,46.78378185675165,94.93093503234739,0.2868886484944758,64.4562836327935,0.19479188835639005,0.8524749251594803,-9.170043440080986
2_hours,1,GHI_season,25,2,0,59.619930554839925,106.27951987550662,0.3211849520847591,76.3088470379374,0.23061125424948015,0.8150946427339828,23.213950370578008
2_hours,1,GHI_season,25,3,12,206.73397577260002,235.87535410963335,0.7128336145705328,203.24750659433496,0.614229728769153,0.08921586521616975,-13.55503012777917
2_hours,1,GHI_season,25,4,11,235.6802532471535,241.10141595933194,0.7286271788127653,211.98706195043258,0.6406413428936653,0.04841004609263866,19.163643170625758
2_hours,1,GHI_season,25,5,0,52.278455107092235,95.3576405175002,0.28817818556581043,65.719078484142,0.1986081523393131,0.8511457222987571,7.179828185993524
2_hours,1,GHI_season,25,6,11,229.76476607054553,240.10106109112212,0.7256040288136866,210.4096461622416,0.6358742700376594,0.056290155927068874,11.906348343702682
2_hours,1,GHI_season,25,7,40,65.3716323544401,106.40989011766224,0.3215789410680466,79.1366921416608,0.23915722148010407,0.814640727597385,14.78749205870467
2_hours,1,GHI_season,25,8,12,216.6751836227525,235.8346794600967,0.7127106926249145,205.27355247062255,0.620352596547058,0.08952995170910383,-0.012773440978667866
2_hours,1,GHI_season,25,9,11,223.20716810084974,239.87400439451514,0.7249178458660626,209.1210636276255,0.6319800736758134,0.05807419071316866,3.087651080775761
